now,messages,aircraft
1616180096,9512,"{'hex': 'a77e97', 'flight': 'DAL1188 ', 'alt_baro': 2925, 'alt_geom': 3000, 'gs': 200.0, 'track': 55.6, 'baro_rate': 192, 'squawk': '3654', 'emergency': 'none', 'category': 'A4', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 3008, 'nav_heading': 317.1, 'lat': 26.555099, 'lon': -81.560427, 'nic': 8, 'rc': 186, 'seen_pos': 8.7, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 192, 'seen': 6.8, 'rssi': -10.4}"
1616180096,9512,"{'hex': 'a088bb', 'flight': 'N1330N  ', 'alt_baro': 3450, 'alt_geom': 3500, 'gs': 65.1, 'track': 266.5, 'baro_rate': -384, 'squawk': '1200', 'emergency': 'none', 'category': 'A1', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 3488, 'lat': 26.464575, 'lon': -81.964135, 'nic': 9, 'rc': 75, 'seen_pos': 0.2, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 490, 'seen': 0.0, 'rssi': -1.9}"
1616180096,9512,"{'hex': 'a0c515', 'alt_baro': 18800, 'alt_geom': 19475, 'gs': 282.1, 'track': 287.5, 'geom_rate': 2816, 'nav_qnh': 1013.6, 'nav_altitude_mcp': 30016, 'nav_heading': 289.7, 'lat': 26.215485, 'lon': -82.320194, 'nic': 8, 'rc': 186, 'seen_pos': 4.6, 'version': 2, 'nic_baro': 1, 'nac_p': 11, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 90, 'seen': 1.5, 'rssi': -12.2}"
1616180096,9512,"{'hex': 'ab0aa7', 'flight': 'N810PF  ', 'alt_baro': 5275, 'alt_geom': 5375, 'gs': 278.8, 'track': 137.0, 'geom_rate': -1536, 'squawk': '2120', 'emergency': 'none', 'category': 'A2', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 4992, 'nav_heading': 149.1, 'lat': 26.569876, 'lon': -82.0553, 'nic': 8, 'rc': 186, 'seen_pos': 0.1, 'version': 2, 'nic_baro': 1, 'nac_p': 11, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 416, 'seen': 0.0, 'rssi': -3.3}"
1616180096,9512,"{'hex': 'abd9b6', 'flight': 'SWA1171 ', 'alt_baro': 16925, 'alt_geom': 17575, 'gs': 384.6, 'track': 8.8, 'baro_rate': 256, 'squawk': '1341', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 23008, 'nav_heading': 237.7, 'lat': 26.99676, 'lon': -81.752331, 'nic': 8, 'rc': 186, 'seen_pos': 0.9, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 325, 'seen': 0.0, 'rssi': -8.3}"
1616180096,9512,"{'hex': 'ad5c37', 'flight': 'LKF60   ', 'alt_baro': 32975, 'alt_geom': 34300, 'gs': 440.0, 'track': 342.7, 'baro_rate': 1536, 'squawk': '7046', 'emergency': 'none', 'category': 'A2', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 34016, 'lat': 26.596923, 'lon': -82.652787, 'nic': 8, 'rc': 186, 'seen_pos': 0.8, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 263, 'seen': 0.4, 'rssi': -9.3}"
1616180096,9512,"{'hex': 'a3e5fa', 'flight': 'DAL2988 ', 'alt_baro': 29550, 'alt_geom': 30700, 'gs': 507.9, 'track': 124.8, 'baro_rate': -896, 'squawk': '2413', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 16000, 'nav_heading': 0.0, 'lat': 26.388428, 'lon': -82.016049, 'nic': 8, 'rc': 186, 'seen_pos': 0.7000000000000001, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 525, 'seen': 0.0, 'rssi': -3.2}"
1616180096,9512,"{'hex': 'adf447', 'flight': 'N999CC  ', 'alt_baro': 6950, 'alt_geom': 7075, 'gs': 153.1, 'track': 177.8, 'geom_rate': 128, 'squawk': '2722', 'emergency': 'none', 'category': 'A1', 'lat': 26.622711, 'lon': -81.63075, 'nic': 9, 'rc': 75, 'seen_pos': 0.2, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 466, 'seen': 0.2, 'rssi': -3.9}"
1616180096,9512,"{'hex': 'abdd6d', 'flight': 'SWA156  ', 'alt_baro': 1350, 'alt_geom': 1375, 'gs': 197.2, 'track': 242.5, 'baro_rate': 1344, 'squawk': '5731', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 10016, 'nav_heading': 276.3, 'lat': 26.514944, 'lon': -81.787192, 'nic': 8, 'rc': 186, 'seen_pos': 0.8, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 459, 'seen': 0.1, 'rssi': -3.0}"
1616180096,9512,"{'hex': 'abb8ea', 'flight': 'SWA1178 ', 'alt_baro': 1900, 'alt_geom': 1950, 'gs': 215.7, 'track': 224.4, 'baro_rate': 128, 'squawk': '2442', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 2016, 'nav_heading': 199.7, 'lat': 26.622108, 'lon': -81.635443, 'nic': 7, 'rc': 371, 'seen_pos': 0.2, 'version': 2, 'nic_baro': 1, 'nac_p': 8, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 1, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 347, 'seen': 0.0, 'rssi': -8.0}"
